Rk,Player,Pos,Alpha_2_Code,Squad,Age,Born,90s,Gls,Sh,SoT
414,Osinachi Ohale,DF,NG,Nigeria,31,1991,4.3,1,1,1
419,Benedetta Orsi,DF,IT,Italy,23,2000,1.0,0,0,0
425,Irene Paredes,DF,ES,Spain,31,1991,7.3,0,9,1
427,Heather Payne,MF|DF,IE,Rep. of Ireland,23,2000,1.9,0,1,0
434,Ève Périsset,DF,FR,France,28,1994,2.9,0,2,0
435,Betina Petit-Frère,DF,HT,Haiti,19,2003,3.0,0,0,0
437,Casey Phair,FW|DF,KR,Korea Republic,15,2007,1.2,0,2,1
438,Vast Phiri,DF,ZM,Zambia,27,1996,0.3,0,0,0
443,Yomira Pinzón,DF,PA,Panama,26,1996,3.0,1,0,0
445,Ashleigh Plumptre,DF,NG,Nigeria,25,1998,4.2,0,5,1
446,Clare Polkinghorne,DF,AU,Australia,34,1989,2.0,0,3,1
451,Chen Qiaozhu,DF,CN,China PR,23,1999,3.0,0,2,1
454,Louise Quinn,DF,IE,Rep. of Ireland,32,1990,3.0,0,2,0
457,Rafaelle,DF,BR,Brazil,31,1991,3.0,0,1,0
458,Lebohang Ramalepe,DF,ZA,South Africa,31,1991,4.0,0,0,0
460,Mónica Ramos,DF,CO,Colombia,24,1998,0.0,0,0,0
464,Felicitas Rauch,DF,DE,Germany,27,1996,1.0,0,1,0
465,Sílvia Rebelo,DF,PT,Portugal,34,1989,0.0,0,0,0
467,Zineb Redouani,DF,MA,Morocco,23,2000,4.0,0,1,1
469,Wendie Renard,DF,FR,France,32,1990,4.3,1,4,1
474,Nadine Riesen,DF,CH,Switzerland,23,2000,2.9,0,1,0
475,Ali Riley,DF,NZ,New Zealand,35,1987,3.0,0,0,0
478,Jayde Riviere,DF,CA,Canada,22,2001,2.3,0,0,0
491,Johanna Rytting Kaneryd,FW|DF,SE,Sweden,26,1997,5.6,0,2,1
492,Adriana Sachs,DF,AR,Argentina,29,1993,1.0,0,0,0
497,Cecilia Salvai,DF,IT,Italy,29,1993,2.0,0,0,0
500,Anna Sandberg,DF,SE,Sweden,20,2003,1.0,0,1,0
509,Ana Seiça,DF,PT,Portugal,22,2001,1.0,0,0,0
511,Jang Sel-gi,DF,KR,Korea Republic,29,1994,3.0,0,1,0
513,Shim Seo-yeon,DF,KR,Korea Republic,34,1989,3.0,0,0,0
514,Lim Seon-joo,DF,KR,Korea Republic,32,1990,1.0,0,0,0
518,Rikke Sevecke,DF,DK,Denmark,26,1996,3.7,0,0,0
519,Wang Shanshan,DF,CN,China PR,33,1990,3.0,0,1,0
522,Marissa Sheva,FW|DF,IE,Rep. of Ireland,26,1997,1.1,0,0,0
523,Risa Shimizu,MF|DF,JP,Japan,26,1996,4.6,1,5,1
543,Sherida Spitse,DF,NL,Netherlands,33,1990,4.7,0,1,0
544,Eliana Stábile,DF,AR,Argentina,29,1993,3.0,0,1,0
547,Julia Stierli,DF,CH,Switzerland,26,1997,4.0,0,0,0
548,Rebekah Stott,DF,NZ,New Zealand,29,1993,2.4,0,1,0
552,Chelsea Surpris,DF,HT,Haiti,26,1996,1.1,0,0,0
553,Allyson Swaby,DF,JM,Jamaica,26,1996,4.0,1,1,1
554,Chantelle Swaby,DF,JM,Jamaica,24,1998,4.0,0,1,1
558,Anja Sønstevold,DF,NO,Norway,30,1992,0.5,0,0,0
561,Hana Takahashi,DF,JP,Japan,23,2000,3.0,0,0,0
562,Tamires,DF,BR,Brazil,35,1987,3.0,0,2,2
565,Martha Tembo,DF,ZM,Zambia,25,1998,3.0,0,1,0
569,Trần Thị Thu Thảo,DF,VN,Vietnam,30,1993,3.0,0,0,0
572,Chương Thị Kiều,DF,VN,Vietnam,27,1995,1.2,0,0,0
573,Hoàng Thị Loan,DF,VN,Vietnam,28,1995,2.3,0,0,0
575,Trần Thị Thu,DF,VN,Vietnam,31,1991,3.0,0,1,0
579,Lương Thị Thu Thương,DF,VN,Vietnam,23,2000,1.8,0,0,0
584,Aïssatou Tounkara,DF,FR,France,28,1995,0.0,0,0,0
591,Manuela Vanegas,DF,CO,Colombia,22,2000,4.0,1,5,1
593,Rosario Vargas,DF,PA,Panama,20,2002,0.9,0,0,0
594,Katrine Veje,DF,DK,Denmark,31,1991,4.0,0,1,1
596,Fabiola Villalobos,DF,CR,Costa Rica,25,1998,3.0,0,4,1
598,Cortnee Vine,MF|DF,AU,Australia,25,1998,2.8,0,4,3
608,Tiernny Wiltshire,DF,JM,Jamaica,25,1998,3.0,0,0,0
617,Shelina Zadorsky,DF,CA,Canada,30,1992,0.5,0,0,0
