Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT
390,Catherine Musonda,GK,zm Zambia,25,1998,2,0,0,0
391,Zećira Mušović,GK,se Sweden,27,1996,6.3,0,0,0
392,Lushomo Mweemba,DF,zm Zambia,22,2001,2.7,1,1,1
393,Lê Thị Diễm My,DF,vn Vietnam,26,1996,3,0,0,0
394,Alyssa Naeher,GK,us USA,35,1988,4.3,0,0,0
395,Fūka Nagano,MF,jp Japan,24,1999,3.7,0,2,1
396,Élodie Nakkach,MF,ma Morocco,28,1995,3.5,0,1,0
397,Hikaru Naomoto,"MF,FW",jp Japan,29,1994,2,1,7,4
398,Wendy Natis,DF,pa Panama,20,2002,2.2,0,2,1
399,Eva Navarro,FW,es Spain,22,2001,1.6,0,4,2
400,Kika Nazareth,MF,pt Portugal,20,2002,1.7,1,5,2
401,Courtney Nevin,DF,au Australia,21,2002,0.2,0,0,0
402,Nguyễn Thị Thanh Nhã,MF,vn Vietnam,21,2001,2,0,1,0
403,Huỳnh Như,FW,vn Vietnam,31,1991,2,0,0,0
404,Chiamaka Nnadozie,GK,ng Nigeria,22,2000,4.3,0,0,0
405,Andreia Norton,MF,pt Portugal,26,1996,2,0,2,0
406,Aniek Nouwen,DF,nl Netherlands,24,1999,0.9,0,0,0
407,Romina Núñez,"MF,FW",ar Argentina,29,1994,2.3,1,2,1
408,Sjoeke Nüsken,DF,de Germany,22,2001,0.5,0,0,0
409,Áine O'Gorman,MF,ie Rep. of Ireland,34,1989,0.6,0,0,0
410,Kelley O'Hara,DF,us USA,34,1988,0.1,0,0,0
411,Denise O'Sullivan,MF,ie Rep. of Ireland,29,1994,3,0,4,0
412,Lena Oberdorf,MF,de Germany,21,2001,2,0,4,1
413,Glory Ogbonna,DF,ng Nigeria,24,1998,0.2,0,0,0
414,Osinachi Ohale,DF,ng Nigeria,31,1991,4.3,1,1,1
415,Esther Okoronkwo,FW,ng Nigeria,26,1997,0.4,0,0,0
416,Ifeoma Onumonu,FW,ng Nigeria,29,1994,2.5,0,5,1
417,Desire Oparanozie,FW,ng Nigeria,29,1993,0.1,0,0,0
418,Francisca Ordega,"FW,MF",ng Nigeria,29,1993,1.2,0,2,0
419,Benedetta Orsi,DF,it Italy,23,2000,1,0,0,0
420,Ochumba Oseke,MF,zm Zambia,21,2001,0.4,0,0,0
421,Asisat Oshoala,FW,ng Nigeria,28,1994,2.7,1,10,3
422,Diana Ospina,MF,co Colombia,34,1989,2.5,0,3,1
423,Sakina Ouzraoui,MF,ma Morocco,21,2001,4,0,1,0
424,Salma Paralluelo,FW,es Spain,19,2003,5.1,2,19,6
425,Irene Paredes,DF,es Spain,31,1991,7.3,0,9,1
426,María Paula Elizondo,"DF,MF",cr Costa Rica,24,1998,1.6,0,0,0
427,Heather Payne,"MF,DF",ie Rep. of Ireland,23,2000,1.9,0,1,0
428,Toni Payne,MF,ng Nigeria,28,1995,4.2,0,3,0
429,Victoria Pelova,"FW,MF",nl Netherlands,24,1999,4.8,0,1,0
430,Ria Percival,MF,nz New Zealand,33,1989,2.7,0,3,1
431,Inês Pereira,GK,pt Portugal,24,1999,2,0,0,0
432,Catalina Pérez,GK,co Colombia,28,1994,4.7,0,0,0
433,María Pérez,MF,es Spain,21,2001,0.3,0,0,0
434,Ève Périsset,DF,fr France,28,1994,2.9,0,2,0
435,Betina Petit-Frère,DF,ht Haiti,19,2003,3,0,0,0
436,Pauline Peyraud-Magnin,GK,fr France,31,1992,5.3,0,0,0
437,Casey Phair,"FW,DF",kr Korea Republic,15,2007,1.2,0,2,1
438,Vast Phiri,DF,zm Zambia,27,1996,0.3,0,0,0
439,Dayana Pierre-Louis,MF,ht Haiti,19,2003,2.6,0,0,0
440,Alexandra Pinell,MF,cr Costa Rica,20,2002,0.2,0,0,0
441,Fátima Pinto,MF,pt Portugal,27,1996,1,0,1,0
442,Tatiana Pinto,MF,pt Portugal,29,1994,3,0,0,0
443,Yomira Pinzón,DF,pa Panama,26,1996,3,1,0,0
444,Seraina Piubel,"MF,FW",ch Switzerland,23,2000,3.7,1,5,3
445,Ashleigh Plumptre,DF,ng Nigeria,25,1998,4.2,0,5,1
446,Clare Polkinghorne,DF,au Australia,34,1989,2,0,3,1
447,Alexandra Popp,"FW,MF",de Germany,32,1991,2.9,4,14,7
448,Atlanta Primus,"MF,FW",jm Jamaica,26,1997,3.2,0,6,0
449,Nichelle Prince,FW,ca Canada,28,1995,0.1,0,0,0
450,Alexia Putellas,MF,es Spain,29,1994,2.4,0,5,1
451,Chen Qiaozhu,DF,cn China PR,23,1999,3,0,2,1
452,Quinley Quezada,MF,ph Philippines,26,1997,2.4,0,0,0
453,Quinn,MF,ca Canada,27,1995,2.9,0,2,0
454,Louise Quinn,DF,ie Rep. of Ireland,32,1990,3,0,2,0
455,Lucy Quinn,FW,ie Rep. of Ireland,29,1993,0.8,0,0,0
456,Aldrith Quintero,MF,pa Panama,21,2002,2.2,0,1,0
457,Rafaelle,DF,br Brazil,31,1991,3,0,1,0
458,Lebohang Ramalepe,DF,za South Africa,31,1991,4,0,0,0
459,Mayra Ramírez,FW,co Colombia,24,1999,5,0,12,2
460,Mónica Ramos,DF,co Colombia,24,1998,0,0,0,0
461,Dominique Randle,"DF,MF",ph Philippines,28,1994,0.6,0,0,0
462,Megan Rapinoe,FW,us USA,37,1985,0.9,0,4,0
463,Hayley Raso,MF,au Australia,28,1994,6.2,3,10,6
464,Felicitas Rauch,DF,de Germany,27,1996,1,0,1,0
465,Sílvia Rebelo,DF,pt Portugal,34,1989,0,0,0,0
466,Alba Redondo,FW,es Spain,26,1996,4.4,3,17,8
467,Zineb Redouani,DF,ma Morocco,23,2000,4,0,1,1
468,Guro Reiten,MF,no Norway,28,1994,4,2,8,3
469,Wendie Renard,DF,fr France,32,1990,4.3,1,4,1
470,Gabi Rennie,FW,nz New Zealand,21,2001,0.1,0,0,0
471,Marcela Restrepo,"MF,FW",co Colombia,24,1999,0.2,0,0,0
472,Géraldine Reuteler,MF,ch Switzerland,24,1999,3.1,0,3,2
473,Marion Rey,MF,ch Switzerland,24,1999,0,0,0,0
474,Nadine Riesen,DF,ch Switzerland,23,2000,2.9,0,1,0
475,Ali Riley,DF,nz New Zealand,35,1987,3,0,0,0
476,Indiah-Paige Riley,"MF,FW",nz New Zealand,21,2001,2,0,3,1
477,Karla Riley,FW,pa Panama,25,1997,0.9,0,0,0
478,Jayde Riviere,DF,ca Canada,22,2001,2.3,0,0,0
479,Trinity Rodman,FW,us USA,21,2002,2.6,0,7,3
480,Misa Rodríguez,GK,es Spain,23,1999,3,0,0,0
481,Raquel Rodríguez,MF,cr Costa Rica,29,1993,1.3,0,1,0
482,Yamila Rodríguez,"FW,MF",ar Argentina,25,1998,0.6,0,1,0
483,Fridolina Rolfö,"FW,MF",se Sweden,29,1993,5.5,3,10,3
484,Sophie Román Haug,FW,no Norway,24,1999,2.8,3,13,6
485,Jill Roord,MF,nl Netherlands,26,1997,4.6,4,18,7
486,Deanne Rose,FW,ca Canada,24,1999,1,0,1,1
487,Elin Rubensson,MF,se Sweden,30,1993,6.4,1,6,1
488,Zhang Rui,MF,cn China PR,34,1989,1.3,0,2,0
489,Alessia Russo,FW,en England,24,1999,5.8,3,22,12
490,Ana Rute,MF,pt Portugal,25,1998,0,0,1,0
491,Johanna Rytting Kaneryd,"FW,DF",se Sweden,26,1997,5.6,0,2,1
492,Adriana Sachs,DF,ar Argentina,29,1993,1,0,0,0
493,Eunice Sakala,GK,zm Zambia,21,2002,1,0,0,0
494,María Paula Salas,FW,cr Costa Rica,20,2002,1.8,0,1,0
495,Deysiré Salazar,MF,pa Panama,19,2004,1.3,0,0,0
496,Gabriela Salgado,MF,za South Africa,25,1998,0.4,0,0,0
497,Cecilia Salvai,DF,it Italy,29,1993,2,0,0,0
498,Duda Sampaio,MF,br Brazil,22,2001,0.3,0,2,0
499,Vyan Sampson,MF,jm Jamaica,26,1996,3.9,0,2,1
500,Anna Sandberg,DF,se Sweden,20,2003,1,0,1,0
501,Leicy Santos,"MF,FW",co Colombia,27,1996,4.2,1,9,3
502,Paige Satchell,FW,nz New Zealand,25,1998,0.1,0,0,0
503,Jaclyn Sawicki,MF,ph Philippines,30,1992,2.8,0,0,0
504,Sophie Schmidt,MF,ca Canada,34,1988,1.2,0,3,1
505,Olivia Schough,"FW,MF",se Sweden,32,1991,1.4,0,3,1
506,Lea Schüller,"FW,MF",de Germany,25,1997,1.6,1,4,1
507,Sheika Scott,FW,cr Costa Rica,16,2006,1.3,0,3,0
508,Caroline Seger,MF,se Sweden,38,1985,0.8,0,1,1
509,Ana Seiça,DF,pt Portugal,22,2001,1,0,0,0
510,Kiko Seike,"DF,MF",jp Japan,26,1996,0.5,0,3,2
511,Jang Sel-gi,DF,kr Korea Republic,29,1994,3,0,1,0
512,Linda Sembrant,"DF,FW",se Sweden,36,1987,0.3,0,0,0
513,Shim Seo-yeon,DF,kr Korea Republic,34,1989,3,0,0,0
514,Lim Seon-joo,DF,kr Korea Republic,32,1990,1,0,0,0
515,Jermaine Seoposenwe,"FW,MF",za South Africa,29,1993,3.3,0,4,2
516,Meryll Serrano,MF,ph Philippines,25,1997,0.3,0,0,0
517,Annamaria Serturini,FW,it Italy,25,1998,0.4,0,0,0
518,Rikke Sevecke,DF,dk Denmark,26,1996,3.7,0,0,0
519,Wang Shanshan,DF,cn China PR,33,1990,3,0,1,0
520,Khadija Shaw,FW,jm Jamaica,26,1997,3,0,7,1
521,Kailen Sheridan,GK,ca Canada,27,1995,3,0,0,0
522,Marissa Sheva,"FW,DF",ie Rep. of Ireland,26,1997,1.1,0,0,0
523,Risa Shimizu,"MF,DF",jp Japan,26,1996,4.6,1,5,1
524,Wendy Shongwe,FW,za South Africa,20,2003,0.7,0,2,1
525,Wang Shuang,"FW,MF",cn China PR,28,1995,1.8,2,3,1
526,Diana Silva,FW,pt Portugal,28,1995,1.9,0,0,0
527,Dolores Silva,MF,pt Portugal,31,1991,1.7,0,0,0
528,Jéssica Silva,FW,pt Portugal,28,1994,2.8,0,6,1
529,Kameron Simmonds,"FW,MF",jm Jamaica,19,2003,0.2,0,0,0
530,Christine Sinclair,"FW,MF",ca Canada,40,1983,1.8,0,3,2
531,Olivia Smith,MF,ca Canada,18,2004,0.1,0,1,1
532,Sophia Smith,FW,us USA,22,2000,4,2,13,4
533,Emma Snerle,FW,dk Denmark,22,2001,0.1,0,1,0
534,Katja Snoeijs,FW,nl Netherlands,26,1996,2.2,1,2,2
535,Cho So-hyun,MF,kr Korea Republic,34,1988,2.7,1,3,1
536,Ji So-yun,MF,kr Korea Republic,32,1991,3,0,4,1
537,Havana Solaun,FW,jm Jamaica,30,1993,0.2,0,0,0
538,Daniela Solera,GK,cr Costa Rica,25,1997,3,0,0,0
539,Emily Sonnett,MF,us USA,29,1993,1.4,0,1,0
540,Coumba Sow,MF,ch Switzerland,28,1994,3.5,0,4,2
541,Drew Spence,MF,jm Jamaica,30,1992,4,0,7,1
542,Rebecca Spencer,GK,jm Jamaica,32,1991,4,0,0,0
543,Sherida Spitse,DF,nl Netherlands,33,1990,4.7,0,1,0
544,Eliana Stábile,DF,ar Argentina,29,1993,3,0,1,0
545,Georgia Stanway,MF,en England,24,1999,6.8,1,8,2
546,Malia Steinmetz,MF,nz New Zealand,24,1999,3,0,5,1
547,Julia Stierli,DF,ch Switzerland,26,1997,4,0,0,0
548,Rebekah Stott,DF,nz New Zealand,29,1993,2.4,0,1,0
549,Ngân Thị Vạn Sự,MF,vn Vietnam,22,2001,0.8,0,0,0
550,Hina Sugita,"DF,MF",jp Japan,26,1997,1.6,0,0,0
551,Andi Sullivan,MF,us USA,27,1995,4.3,0,4,0
552,Chelsea Surpris,DF,ht Haiti,26,1996,1.1,0,0,0
553,Allyson Swaby,DF,jm Jamaica,26,1996,4,1,1,1
554,Chantelle Swaby,DF,jm Jamaica,24,1998,4,0,1,1
555,Kaylin Swart,GK,za South Africa,28,1994,4,0,0,0
556,Ingrid Syrstad Engen,MF,no Norway,25,1998,2.3,0,3,1
557,Karina Sævik,"FW,MF",no Norway,27,1996,0.8,0,2,1
558,Anja Sønstevold,DF,no Norway,30,1992,0.5,0,0,0
559,Nicoline Sørensen,"FW,MF",dk Denmark,25,1997,1.6,0,0,0
560,Fatima Tagnaout,MF,ma Morocco,24,1999,3.6,0,1,1
561,Hana Takahashi,DF,jp Japan,23,2000,3,0,0,0
562,Tamires,DF,br Brazil,35,1987,3,0,2,2
563,Mina Tanaka,FW,jp Japan,29,1994,3,2,13,4
564,Riley Tanner,"FW,MF",pa Panama,23,1999,2.3,0,3,1
565,Martha Tembo,DF,zm Zambia,25,1998,3,0,1,0
566,Meriame Terchoun,"FW,MF",ch Switzerland,27,1995,0.6,0,3,2
567,Gaëlle Thalmann,GK,ch Switzerland,37,1986,4,0,0,0
568,Trần Thị Kim Thanh,GK,vn Vietnam,29,1993,2.5,0,0,0
569,Trần Thị Thu Thảo,DF,vn Vietnam,30,1993,3,0,0,0
570,Kerly Théus,GK,ht Haiti,24,1999,3,0,0,0
571,Khổng Thị Hằng,GK,vn Vietnam,29,1993,0.5,0,0,0
572,Chương Thị Kiều,DF,vn Vietnam,27,1995,1.2,0,0,0
573,Hoàng Thị Loan,DF,vn Vietnam,28,1995,2.3,0,0,0
574,Thái Thị Thảo,MF,vn Vietnam,28,1995,2,0,1,0
575,Trần Thị Thu,DF,vn Vietnam,31,1991,3,0,1,0
576,Dương Thị Vân,MF,vn Vietnam,28,1994,1.7,0,0,0
577,Alyssa Thompson,FW,us USA,18,2004,0.2,0,0,0
578,Janni Thomsen,"DF,FW",dk Denmark,23,2000,3.9,0,2,0
579,Lương Thị Thu Thương,DF,vn Vietnam,23,2000,1.8,0,0,0
580,Nguyễn Thị Bích Thùy,MF,vn Vietnam,29,1994,2,0,4,2
581,Frederikke Thøgersen,FW,dk Denmark,27,1995,0.2,0,0,0
582,Sandie Toletti,MF,fr France,27,1995,3.4,0,4,1
583,Ella Toone,MF,en England,23,1999,4.9,1,4,2
584,Aïssatou Tounkara,DF,fr France,28,1995,0,0,0,0
585,Sanne Troelsgaard Nielsen,MF,dk Denmark,34,1988,0.3,1,1,1
586,Christy Ucheibe,MF,ng Nigeria,22,2000,4.3,0,6,0
587,Riko Ueki,FW,jp Japan,23,1999,2,2,10,5
588,Catalina Usme,"FW,MF",co Colombia,33,1989,5,2,7,2
589,Emilie Valenciano,MF,cr Costa Rica,26,1997,0.1,0,0,0
590,Kiki Van Zanten,MF,jm Jamaica,21,2001,0.5,0,0,0
591,Manuela Vanegas,DF,co Colombia,22,2000,4,1,5,1
592,Amalie Vangsgaard,FW,dk Denmark,26,1996,2.2,1,5,2
593,Rosario Vargas,DF,pa Panama,20,2002,0.9,0,0,0
594,Katrine Veje,DF,dk Denmark,31,1991,4,0,1,1
595,Evelyne Viens,FW,ca Canada,26,1997,1.1,0,3,2
596,Fabiola Villalobos,DF,cr Costa Rica,25,1998,3,0,4,1
597,Gloriana Villalobos,"MF,FW",cr Costa Rica,23,1999,2.1,0,2,1
598,Cortnee Vine,"MF,DF",au Australia,25,1998,2.8,0,4,3
599,Ana Vitória,MF,br Brazil,23,2000,0.1,0,0,0
600,Keira Walsh,MF,en England,26,1997,5.7,0,2,0
601,Lia Wälti,MF,ch Switzerland,30,1993,3.8,0,0,0
602,Solai Washington,"MF,FW",jm Jamaica,17,2005,0.4,0,1,0
603,Yao Wei,"DF,MF",cn China PR,25,1997,3,0,1,0
604,Hannah Wilkinson,FW,nz New Zealand,31,1992,2.8,1,8,2
605,Lynn Williams,FW,us USA,30,1993,1.5,0,9,6
606,Lynn Wilms,"DF,FW",nl Netherlands,22,2000,0.7,0,0,0
607,Mary Wilombe,MF,zm Zambia,25,1997,0.8,0,0,0
608,Tiernny Wiltshire,DF,jm Jamaica,25,1998,3,0,0,0
609,Zhang Xin,"FW,MF",cn China PR,31,1992,1.1,0,0,0
610,Tameka Yallop,MF,au Australia,31,1991,0.1,0,0,0
611,Ayaka Yamashita,GK,jp Japan,27,1995,5,0,0,0
612,Gu Yasha,"MF,FW",cn China PR,32,1990,0.2,0,0,0
613,Yoon Young-geul,GK,kr Korea Republic,35,1987,1,0,0,0
614,Lee Young-ju,MF,kr Korea Republic,31,1992,1,0,0,0
615,Zhu Yu,GK,cn China PR,25,1997,2,0,0,0
616,Choe Yu-ri,"MF,FW",kr Korea Republic,28,1994,2.4,0,3,1
617,Shelina Zadorsky,DF,ca Canada,30,1992,0.5,0,0,0
618,Katie Zelem,MF,en England,27,1996,1,0,0,0
619,Claudia Zornoza,MF,es Spain,32,1990,0.4,0,0,0
